PARK_NAME,ADDRESS,PARK_AREA,TREES_KIND
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 "
용두근린공원,"서울특별시 동대문구 용두동 34-1",17182,"모과나무 매실나무 단풍나무 목련 잣나무 이팝나무 버드나무 산딸나무 은행나무 소나무 산수유 뽕나무 향나무 감나무 느티나무 벚나무 메타세쿼이아 백합나무 배롱나무 때죽나무 살구나무 참나무 회화나무 왕벚나무 대추나무 중국단풍 밤나무 주목 자귀나무 "
용머리어린이공원,"서울특별시 동대문구 용두동 696-8",738.5,
작은언덕소공원,"서울특별시 동대문구 회기동 351-6",400,
용두6구역소공원,"서울특별시 동대문구 용두동 765-12",1865,
우산각어린이공원,"서울특별시 동대문구 신설동 109-4",5294.2,"양버즘나무 단풍나무 목련 잣나무 산딸나무 은행나무 소나무 산수유 뽕나무 느티나무 벚나무 메타세쿼이아 오동나무 측백나무 살구나무 자두나무 주목 "
진달래어린이공원,"서울특별시 동대문구 휘경동 49-384",2345,
안골어린이공원,"서울특별시 동대문구 장안동 402",1652.3,"단풍나무 잣나무 은행나무 소나무 산수유 느티나무 측백나무 전나무 "
장일어린이공원,"서울특별시 동대문구 장안동 164-1",992,"단풍나무 잣나무 은행나무 소나무 산수유 느티나무 벚나무 살구나무 복숭아나무 "
미나리어린이공원,"서울특별시 동대문구 장안동 449",1636.3,"양버즘나무 단풍나무 목련 잣나무 산딸나무 은행나무 소나무 산수유 뽕나무 향나무 느티나무 벚나무 모감주나무 오동나무 칠엽수 살구나무 중국단풍 "
답십리근린공원,"서울특별시 동대문구 답십리동 산2-9",160857.6,
한내어린이공원,"서울특별시 동대문구 장안동 348",1617.2,"단풍나무 잣나무 이팝나무 산딸나무 은행나무 소나무 피나무 산수유 느티나무 벚나무 모감주나무 "
장이소공원,"서울특별시 동대문구 장안동 587-1",1403.6,"모과나무 단풍나무 목련 잣나무 이팝나무 소나무 느티나무 벚나무 배롱나무 팽나무 참나무 "
미리내어린이공원,"서울특별시 동대문구 장안동 93-29",833,
샛별어린이공원,"서울특별시 동대문구 장안동 379",1652.9,"모과나무 양버즘나무 단풍나무 목련 잣나무 이팝나무 산딸나무 소나무 피나무 감나무 느티나무 메타세쿼이아 살구나무 주목 "
샛말어린이공원,"서울특별시 동대문구 전농동 695-1",2545,
휘경마당소공원,"서울특별시 동대문구 휘경동 375-1",654,
새움어린이공원,"서울특별시 동대문구 답십리동 1009-1",2107,
선농단역사공원,"서울특별시 동대문구 제기동 274-1",3933,
장평근린공원,"서울특별시 동대문구 장안동 356",15698.4,
청량근린공원,"서울특별시 동대문구 청량리동 산1-1",119871,
장미어린이공원,"서울특별시 동대문구 장안동 386",1652.8,"양버즘나무 단풍나무 잣나무 은행나무 소나무 느티나무 "
휘봉어린이공원,"서울특별시 동대문구 휘경동 43-275",1398,
쉼터어린이공원,"서울특별시 동대문구 답십리동 952-5",1695,
새샘근린공원,"서울특별시 동대문구 답십리동 294-69",8910.1,
이삭어린이공원,"서울특별시 동대문구 전농동 675",354.2,
아름어린이공원,"서울특별시 동대문구 휘경동 43-275",1116,
천장어린이공원,"서울특별시 동대문구 이문동 264-181",1656,
배봉산근린공원,"서울특별시 동대문구 전농동 산32-20",232813.7,
느티나무어린이공원,"서울특별시 동대문구 용두동 138-61",1719,
꿈동산어린이공원,"서울특별시 동대문구 답십리동 1002-1",1570.7,
솔바람소공원,"서울특별시 동대문구 용두동 794-1",1763.2,
동산어린이공원,"서울특별시 동대문구 답십리동 998-1",1359.2,"모과나무 단풍나무 목련 잣나무 이팝나무 소나무 사과나무 감나무 느티나무 벚나무 느릅나무 주목 "
아름드리어린이공원,"서울특별시 동대문구 전농동 688-7",2626.5,"단풍나무 잣나무 산딸나무 소나무 사과나무 산수유 뽕나무 가죽나무 느티나무 벚나무 메타세쿼이아 "
홍릉근린공원,"서울특별시 동대문구 청량리동 산1-145",102920,
간데메근린공원,"서울특별시 동대문구 답십리동 471",15179.7,
용두5구역어린이공원,"서울특별시 동대문구 용두동 795-2",4063,
"용두6구역 대체공원소공원","서울특별시 동대문구 답십리동 53-43",142,
늘푸른어린이공원,"서울특별시 동대문구 장안동 303",1653.1,
늘봄어린이공원,"서울특별시 동대문구 장안동 343",1659.2,"모과나무 양버즘나무 단풍나무 이팝나무 은행나무 소나무 산수유 향나무 감나무 느티나무 모감주나무 칠엽수 "
장령당소공원,"서울특별시 동대문구 답십리동 1004-4",1424.1,
방아다리어린이공원,"서울특별시 동대문구 제기동 132-1",1537,"단풍나무 목련 잣나무 이팝나무 산딸나무 소나무 산수유 감나무 느티나무 벚나무 측백나무 주목 "
내길소공원,"서울특별시 동대문구 휘경동 368-4",514.9,
휘경어린이공원,"서울특별시 동대문구 휘경동 372-2",3426.3,"단풍나무 목련 잣나무 이팝나무 산딸나무 은행나무 소나무 산수유 감나무 느티나무 벚나무 측백나무 살구나무 자두나무 중국단풍 말채나무 "
마로니에어린이공원,"서울특별시 동대문구 장안동 325",1656.2,"단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무 "
이슬어린이공원,"서울특별시 동대문구 장안동 190-62",336,
용두희망어린이공원,"서울특별시 동대문구 용두동 715",1291,
텃골근린공원,"서울특별시 동대문구 전농동 553-1",5282.7,
