INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,TREE_NAME,CONIFEROUS_DECIDUOUS,EVERGREEN_DECIDUOUS,SIZE_STRUCTURE,FLOWER_FRUIT,FLOWER,SEASON
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",팥배나무,활엽수,낙엽수,교목,열매수,봄,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",백합나무,활엽수,낙엽수,교목,,봄,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",측백나무,침엽수,상록수,관목,,X,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",칠엽수,활엽수,낙엽수,교목,,봄,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",가문비나무,침엽수,상록수,교목,,X,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",아까시나무,활엽수,낙엽수,교목,화목,봄,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",메타세쿼이아,침엽수,낙엽수,교목,,X,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",모감주나무,활엽수,낙엽수,교목,,봄,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",물푸레나무,활엽수,낙엽수,교목,,봄,X
장안근린공원,"서울특별시 동대문구 장안동 300",14744.8,"모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무 ",벚나무,활엽수,낙엽수,교목,화목,봄,X
